T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
291,94.5,90.3,30.5905,23.71425
292,94.69999999999999,90.9,30.247,23.40025
293,94.1,88.9,29.176,22.6655
294,94.8,90.5,29.0215,22.5475
295,94.8,90.60000000000001,28.404,22.0685
296,94.0,88.6,27.6785,21.5305
297,94.1,88.4,26.633,20.71675
298,94.5,87.8,26.44775,20.58925
299,95.39999999999999,90.2,25.40625,19.78375
300,94.6,86.7,25.27475,19.5065
